doorname,doorevent,doorstatus,access_time,id,name,ip,status,alarm,site_id_doors,tamper,companyName,orgName,siteName
Lab Test,Door Monitor,NotSupported,2022-11-07 0:39:49,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Lock Monitor,NotSupported,2022-11-07 0:39:49,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Lock Monitor,Fault,2022-11-07 0:39:50,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Mode,Locked,2022-11-07 0:39:49,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:39:49,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Alarm,Normal,2022-11-07 0:39:49,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Warning,Normal,2022-11-07 0:39:49,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Monitor,Open,2022-11-07 0:39:52,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Alarm,DoorForcedOpen,2022-11-07 0:39:52,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Monitor,NotSupported,2022-11-07 0:42:57,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Lock Monitor,NotSupported,2022-11-07 0:42:57,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Mode,Locked,2022-11-07 0:42:57,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:42:57,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Alarm,Normal,2022-11-07 0:42:57,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
Lab Test,Door Warning,Normal,2022-11-07 0:42:57,54,Lab Test,10.0.1.246,Locked,Normal,7,2022-11-09 02:14:31,0,Reader Entrance,CCSi Communications
